Posicion,Premios,puntos_MVP,primero,AWS,AWS_MEAN,WP,Season,WP_MEAN,Defensivo,Sueldos
50,,,,"Schröder,Dennis",10.37761194029851,"Lin,Jeremy",2018,0.18204878538638225,,"Bazemore,Kent"
51,,,,"Payton,Elfrid",10.302380952380952,"Anthony,Carmelo",2018,0.18169762114846089,,"Cousins,DeMarcus"
52,,,,"Rondo,Rajon",10.17972972972973,"Leonard,Kawhi",2018,0.17995320786783103,,"Matthews,Wesley"
53,,,,"Harris,Gary",10.137313432835825,"Vučević,Nikola",2018,0.17972505849574705,,"Thompson,Klay"
54,,,,"Porziņģis,Kristaps",10.080208333333337,"Harris,Gary",2018,0.17790259353327473,,"Caldwell-Pope,Kentavious"
55,,,,"Whiteside,Hassan",9.990677966101698,"Thomas,Isaiah",2018,0.17774010319530284,,"Thompson,Tristan"
56,,,,"Rubio,Ricky",9.982530120481927,"Love,Kevin",2018,0.17571650666530106,,"Green,Draymond"
57,,,,"Ingram,Andre",9.95,"Ingram,Brandon",2018,0.1753842024641824,,"Hardaway,Tim"
58,,,,"Thompson,Klay",9.907446808510636,"Redick,J.J.",2018,0.17414566426100406,,"Deng,Luol"
59,,,,"Gordon,Aaron",9.90689655172414,"Kuzma,Kyle",2018,0.17331671399780174,,"Turner,Evan"
60,,,,"Barton,Will",9.774074074074074,"Murray,Jamal",2018,0.1729572889287202,,"Jackson,Reggie"
61,,,,"Šarić,Dario",9.752298850574713,"Gallinari,Danilo",2018,0.17199296015270485,,"Biyombo,Bismack"
62,,,,"Russell,D'Angelo",9.729166666666668,"Waiters,Dion",2018,0.17081967920895594,,"Fournier,Evan"
63,,,,"Dunn,Kris",9.728846153846158,"Lowry,Kyle",2018,0.1701147653005333,,"Valanciunas,Jonas"
64,,,,"McCollum,CJ",9.670588235294117,"Simmons,Ben",2018,0.16918788574212404,,"Mozgov,Timofey"
65,,,,"Murray,Jamal",9.62222222222222,"Barton,Will",2018,0.16853889394607272,,"Harris,Tobias"
66,,,,"Dragić,Goran",9.478125000000002,"Markkanen,Lauri",2018,0.16632936027289535,,"Gasol,Pau"
67,,,,"Ingles,Joe",9.47043010752688,"Bradley,Avery",2018,0.16566573391626618,,"Mahinmi,Ian"
68,,,,"Batum,Nicolas",9.4203125,"Mirotić,Nikola",2018,0.16481833459509831,,"Schroder,Dennis"
69,,,,"Millsap,Paul",9.296052631578947,"Rivers,Austin",2018,0.16442513530838612,,"Parker,Tony"
70,,,,"Ingram,Brandon",9.277966101694917,"Howard,Dwight",2018,0.16397232421803476,,"Carroll,DeMarre"
71,,,,"Nurkić,Jusuf",9.26686746987952,"Jackson,Reggie",2018,0.16286049986645273,,"Bledsoe,Eric"
72,,,,"Porter,Otto",9.216463414634148,"Dunn,Kris",2018,0.16044551982944294,,"Iguodala,Andre"
73,,,,"Bazemore,Kent",9.040769230769236,"Waller-Prince,Taurean",2018,0.1598537344483273,,"Smith,JR"
74,,,,"Harris,Tobias",9.025625,"Brown,Jaylen",2018,0.1571911713404465,,"Johnson,James"
75,,,,"Valančiūnas,Jonas",9.006321839080462,"Tatum,Jayson",2018,0.1555201719601682,,"Lopez,Robin"
76,,,,"Mirotić,Nikola",8.924218750000003,"Teague,Jeff",2018,0.15455185209702665,,"Rubio,Ricky"
77,,,,"Collison,Darren",8.85657894736842,"Millsap,Paul",2018,0.15410151787388246,,"Ingles,Joe"
78,,,,"Waller-Prince,Taurean",8.803658536585367,"Randolph,Zach",2018,0.15388228087297334,,"Dieng,Gorgui"
79,,,,"Barnes,Harrison",8.715584415584418,"Rubio,Ricky",2018,0.1505330558777824,,"Williams,Marvin"
80,,,,"Barea,J.J.",8.705797101449273,"Randle,Julius",2018,0.1499579560282034,,"Plumlee,Mason"
81,,,,"Smith,Dennis",8.657246376811594,"Šarić,Dario",2018,0.14876073863090636,,"Gibson,Taj"
82,,,,"Hollis-Jefferson,Rondae",8.643382352941176,"Bazemore,Kent",2018,0.14809017811391706,,"Young,Thaddeus"
83,,,,"Kuzma,Kyle",8.520129870129866,"Nurkić,Jusuf",2018,0.14791317811769228,,"Knight,Brandon"
84,,,,"Beverley,Patrick",8.513636363636365,"Jackson,Josh",2018,0.1470091944501084,,"Zeller,Cody"
85,,,,"Fournier,Evan",8.506140350877192,"Hollis-Jefferson,Rondae",2018,0.14661346474452291,,"Chandler,Tyson"
86,,,,"Olynyk,Kelly",8.498750000000001,"Morris,Marcus",2018,0.14504568237380402,,"Kidd-Gilchrist,Michael"
87,,,,"Redick,J.J.",8.428125000000003,"Bogdanović,Bojan",2018,0.14475332920429315,,"Gordon,Eric"
88,,,,"Johnson,James",8.414102564102564,"Hield,Buddy",2018,0.14439792119145795,,"Faried,Kenneth"
89,,,,"Dinwiddie,Spencer",8.33625,"Simmons,Jonathon",2018,0.1439044320841987,,"Gortat,Marcin"
90,,,,"Thomas,Isaiah",8.334375000000003,"Caldwell-Pope,Kentavious",2018,0.14321762857490966,,"Vucevic,Nikola"
91,,,,"Randolph,Zach",8.295762711864407,"Porter,Otto",2018,0.1429236431384999,,"Rivers,Austin"
92,,,,"Warren,T.J.",8.283076923076921,"Crabbe,Allen",2018,0.14283013927909732,,"Olynyk,Kelly"
93,,,,"Tatum,Jayson",8.240404040404039,"Holiday,Justin",2018,0.14267188879583065,,"Lin,Jeremy"
94,,,,"Young,Thaddeus",8.171022727272728,"Drummond,Andre",2018,0.14134487351818226,,"Plumlee,Miles"
95,,,,"Jackson,Reggie",8.159999999999998,"Horford,Al",2018,0.14128965820690825,,"Clarkson,Jordan"
96,,,,"Gordon,Eric",8.152325581395353,"Carroll,DeMarre",2018,0.1412750734725214,,"Mirotic,Nikola"
97,,,,"LeVert,Caris",8.130985915492957,"Hood,Rodney",2018,0.14037876400157348,,"Randolph,Zach"
98,,,,"Markkanen,Lauri",8.12205882352941,"Dinwiddie,Spencer",2018,0.13969231692217748,,"Lee,Courtney"
99,,,,"Caldwell-Pope,Kentavious",8.110135135135133,"Matthews,Wesley",2018,0.1387109388618358,,"Hill,Solomon"
100,,,,"Lin,Jeremy",8.100000000000001,"Fox,De'Aaron",2018,0.13856887585699518,,"Pekovic,Nikola"
101,,,,"Richardson,Josh",8.08081395348837,"Beasley,Michael",2018,0.13816342344715,,"Chandler,Wilson"
102,,,,"Favors,Derrick",8.057954545454548,"Rozier,Terry",2018,0.13771244598812898,,"Walker,Kemba"
103,,,,"Hardaway,Tim",8.05701754385965,"Wade,Dwyane",2018,0.13733919555334256,,"Favors,Derrick"
104,,,,"Monroe,Greg",8.008333333333335,"Lamb,Jeremy",2018,0.13680343974187378,,"Waiters,Dion"
105,,,,"Cauley-Stein,Willie",7.993150684931508,"Lopez,Brook",2018,0.13662302923583022,,"Henson,John"
106,,,,"Portis,Bobby",7.987671232876713,"Payton,Elfrid",2018,0.13608246370345425,,"Asik,Omer"
107,,,,"Covington,Robert",7.97,"Richardson,Josh",2018,0.13563275599839472,,"Ellis,Monta"
108,,,,"Gasol,Pau",7.897560975609755,"Batum,Nicolas",2018,0.1352028538499779,,"Burks,Alec"
109,,,,"Carroll,DeMarre",7.88219178082192,"Ball,Lonzo",2018,0.13490568756603538,,"Mills,Patty"
110,,,,"Collins,John",7.8709459459459445,"LeVert,Caris",2018,0.13373811879025016,,"Snell,Tony"
