Equipo A,Equipo B,Distancia
Minnesota Timberwolves,Atlanta Hawks,1459
Minnesota Timberwolves,Milwaukee Bucks,479
Minnesota Timberwolves,Brooklyn Nets,1641
Minnesota Timberwolves,New Orleans Pelicans,1692
Minnesota Timberwolves,Charlotte Hornets,1509
New York Knicks,Philadelphia 76ers,407
New York Knicks,Detroit Pistons,772
New York Knicks,Chicago Bulls,1144
New York Knicks,Minnesota Timberwolves,1633
New York Knicks,Denver Nuggets,2615
New York Knicks,Golden State Warriors,4110
New York Knicks,Dallas Mavericks,2203
New York Knicks,New Jersey Nets,9
New York Knicks,Charlotte Bobcats,854
New York Knicks,Memphis Grizzlies,1536
New York Knicks,San Antonio Spurs,2542
New York Knicks,New Orleans Hornets,1878
New York Knicks,Oklahoma City Thunder,2128
New York Knicks,Orlando Magic,1509
New York Knicks,Washington Wizards,328
New York Knicks,Cleveland Cavaliers,649
New York Knicks,Boston Celtics,305
New York Knicks,Portland Trail Blazers,3920
New York Knicks,Los Angeles Lakers,3930
New York Knicks,Sacramento Kings,4018
New York Knicks,Indiana Pacers,1035
New York Knicks,Phoenix Suns,3439
New York Knicks,Utah Jazz,3162
New York Knicks,Houston Rockets,2278
New York Knicks,Toronto Raptors,555
New York Knicks,Miami Heat,1754
New York Knicks,Los Angeles Clippers,3930
New York Knicks,Atlanta Hawks,1199
New York Knicks,Milwaukee Bucks,1176
New York Knicks,Brooklyn Nets,9
New York Knicks,New Orleans Pelicans,1878
New York Knicks,Charlotte Hornets,854
Denver Nuggets,Philadelphia 76ers,1349
Denver Nuggets,Detroit Pistons,1855
Denver Nuggets,Chicago Bulls,1473
Denver Nuggets,Minnesota Timberwolves,1122
Denver Nuggets,New York Knicks,2615
Denver Nuggets,Golden State Warriors,1509
Denver Nuggets,Dallas Mavericks,1063
Denver Nuggets,New Jersey Nets,2621
Denver Nuggets,Charlotte Bobcats,2178
Denver Nuggets,Memphis Grizzlies,1412
Denver Nuggets,San Antonio Spurs,1289
Denver Nuggets,New Orleans Hornets,1736
Denver Nuggets,Oklahoma City Thunder,810
Denver Nuggets,Orlando Magic,2489
Denver Nuggets,Washington Wizards,2393
Denver Nuggets,Cleveland Cavaliers,1967
Denver Nuggets,Boston Celtics,2837
Denver Nuggets,Portland Trail Blazers,1577
Denver Nuggets,Los Angeles Lakers,1334
Denver Nuggets,Sacramento Kings,1425
Denver Nuggets,Indiana Pacers,1604
Denver Nuggets,Phoenix Suns,941
Denver Nuggets,Utah Jazz,596
Denver Nuggets,Houston Rockets,1412
Denver Nuggets,Toronto Raptors,2155
Denver Nuggets,Miami Heat,2771
Denver Nuggets,Los Angeles Clippers,1334
Denver Nuggets,Atlanta Hawks,1944
Denver Nuggets,Milwaukee Bucks,1466
Denver Nuggets,Brooklyn Nets,2621
Denver Nuggets,New Orleans Pelicans,1736
Denver Nuggets,Charlotte Hornets,2178
Golden State Warriors,Philadelphia 76ers,2123
Golden State Warriors,Detroit Pistons,3341
Golden State Warriors,Chicago Bulls,2966
Golden State Warriors,Minnesota Timberwolves,2529
Golden State Warriors,New York Knicks,4110
Golden State Warriors,Denver Nuggets,1509
Golden State Warriors,Dallas Mavericks,2366
Golden State Warriors,New Jersey Nets,4116
Golden State Warriors,Charlotte Bobcats,3678
Golden State Warriors,Memphis Grizzlies,2879
Golden State Warriors,San Antonio Spurs,2379
Golden State Warriors,New Orleans Hornets,3076
Golden State Warriors,Oklahoma City Thunder,2214
Golden State Warriors,Orlando Magic,3904
Golden State Warriors,Washington Wizards,3900
Golden State Warriors,Cleveland Cavaliers,3461
Golden State Warriors,Boston Celtics,4315
Golden State Warriors,Portland Trail Blazers,858
Golden State Warriors,Los Angeles Lakers,552
Golden State Warriors,Sacramento Kings,110
Golden State Warriors,Indiana Pacers,3112
Golden State Warriors,Phoenix Suns,1039
Golden State Warriors,Utah Jazz,950
Golden State Warriors,Houston Rockets,2628
Golden State Warriors,Toronto Raptors,3623
Golden State Warriors,Miami Heat,4151
Golden State Warriors,Los Angeles Clippers,552
Golden State Warriors,Atlanta Hawks,3419
Golden State Warriors,Milwaukee Bucks,2941
Golden State Warriors,Brooklyn Nets,4116
Golden State Warriors,New Orleans Pelicans,3076
Golden State Warriors,Charlotte Hornets,3678
Dallas Mavericks,Philadelphia 76ers,718
Dallas Mavericks,Detroit Pistons,1606
Dallas Mavericks,Chicago Bulls,1290
Dallas Mavericks,Minnesota Timberwolves,1388
Dallas Mavericks,New York Knicks,2203
Dallas Mavericks,Denver Nuggets,1063
Dallas Mavericks,Golden State Warriors,2366
Dallas Mavericks,New Jersey Nets,2206
Dallas Mavericks,Charlotte Bobcats,1493
Dallas Mavericks,Memphis Grizzlies,672
Dallas Mavericks,San Antonio Spurs,406
Dallas Mavericks,New Orleans Hornets,711
Dallas Mavericks,Oklahoma City Thunder,305
Dallas Mavericks,Orlando Magic,1545
Dallas Mavericks,Washington Wizards,1900
Dallas Mavericks,Cleveland Cavaliers,1647
Dallas Mavericks,Boston Celtics,2490
Dallas Mavericks,Portland Trail Blazers,2621
Dallas Mavericks,Los Angeles Lakers,1988
Dallas Mavericks,Sacramento Kings,2310
Dallas Mavericks,Indiana Pacers,1227
Dallas Mavericks,Phoenix Suns,1421
Dallas Mavericks,Utah Jazz,1604
Dallas Mavericks,Houston Rockets,362
Dallas Mavericks,Toronto Raptors,1935
Dallas Mavericks,Miami Heat,1784
Dallas Mavericks,Los Angeles Clippers,1988
Dallas Mavericks,Atlanta Hawks,1157
Dallas Mavericks,Milwaukee Bucks,1378
Dallas Mavericks,Brooklyn Nets,2206
Dallas Mavericks,New Orleans Pelicans,711
Dallas Mavericks,Charlotte Hornets,1493
New Jersey Nets,Philadelphia 76ers,728
New Jersey Nets,Detroit Pistons,779
