Name,Season,WP_MEAN
"Bell,Jordan",2020,0.03171683400756761
"Bembry,DeAndre'",2018,0.06853332933416362
"Bembry,DeAndre'",2019,0.09502395871341353
"Bembry,DeAndre'",2020,0.0656444863531583
"Bender,Dragan",2018,0.0771636033664399
"Bender,Dragan",2019,0.05566465545445438
"Bender,Dragan",2020,0.0676519435294648
"Bertāns,Dairis",2019,0.043913053932014695
"Bertāns,Dāvis",2018,0.06627540701161988
"Bertāns,Dāvis",2019,0.07817274637854756
"Bertāns,Dāvis",2020,0.15334949888899901
"Beverley,Patrick",2018,0.12913592142599908
"Beverley,Patrick",2019,0.076655705092333
"Beverley,Patrick",2020,0.07961227471350192
"Birch,Khem",2018,0.03774745962887442
"Birch,Khem",2019,0.036973395123307676
"Birch,Khem",2020,0.031656080204835686
"Bird,Jabari",2018,0.04696020890000924
"Bitadze,Goga",2020,0.039854021546323226
"Biyombo,Bismack",2018,0.055174025025733604
"Biyombo,Bismack",2019,0.03701245820387903
"Biyombo,Bismack",2020,0.06436832411360699
"Bjelica,Nemanja",2018,0.06528698097284812
"Bjelica,Nemanja",2019,0.09084180253702079
"Bjelica,Nemanja",2020,0.11190714322903839
"Black,Tarik",2018,0.02913290928649039
"Blakeney,Antonio",2018,0.09356507119567166
"Blakeney,Antonio",2019,0.09225669748931692
"Bledsoe,Eric",2018,0.18557387111136678
"Bledsoe,Eric",2019,0.16516349742069922
"Bledsoe,Eric",2020,0.16350575614897253
"Blossomgame,Jaron",2019,0.04605045177221288
"Blue,Vander",2018,0.013079141069271988
"Bogdanović,Bogdan",2018,0.12551577343134823
"Bogdanović,Bogdan",2019,0.15565020819464145
"Bogdanović,Bogdan",2020,0.1564505978772429
"Bogdanović,Bojan",2018,0.14475332920429315
"Bogdanović,Bojan",2019,0.18165474775182253
"Bogdanović,Bojan",2020,0.21098728871037392
"Bogut,Andrew",2018,0.01192335594253634
"Bogut,Andrew",2019,0.02835568763444762
"Bolden,Jonah",2019,0.0397057076147631
"Bolden,Jonah",2020,0.016692673349708694
"Bolomboy,Joel",2018,0.010724869937490254
"Bone,Jordan",2020,0.021334964262163587
"Bonga,Isaac",2019,0.019020727018234637
"Bonga,Isaac",2020,0.035595198411603045
"Booker,Devin",2018,0.27024619118372273
"Booker,Devin",2019,0.27749140182976606
"Booker,Devin",2020,0.26626961182316883
"Booker,Trevor",2018,0.051635002939625876
"Boucher,Chris",2019,0.034384311061322885
"Boucher,Chris",2020,0.06007454615993963
"Bowen,Brian",2020,0.01816548908405415
"Bowman,Ky",2020,0.08667614016787405
"Bradley,Avery",2018,0.16566573391626618
"Bradley,Avery",2019,0.10803459663208974
"Bradley,Avery",2020,0.08965388526186005
"Bradley,Tony",2018,0.012599746944570632
"Bradley,Tony",2019,0.04223094624276441
"Bradley,Tony",2020,0.028962439721438204
"Brantley,Jarrell",2020,0.004723206609939335
"Brazdeikis,Ignas",2020,0.030281166444598006
"Brewer,Corey",2018,0.05367684329183201
"Brewer,Corey",2019,0.045039663008378736
"Bridges,Mikal",2019,0.08576654031491757
"Bridges,Mikal",2020,0.08244939995722315
"Bridges,Miles",2019,0.07984062169941666
"Bridges,Miles",2020,0.1435915205502851
"Briscoe,Isaiah",2019,0.045248819329080016
"Brissett,Oshae",2020,0.022414625449054645
"Broekhoff,Ryan",2019,0.04690298270867169
"Broekhoff,Ryan",2020,0.04832864077190142
"Brogdon,Malcolm",2018,0.12621725664174088
"Brogdon,Malcolm",2019,0.15134368998998715
"Brogdon,Malcolm",2020,0.18012109209901897
"Brooks,Aaron",2018,0.029319083255916346
"Brooks,Dillon",2018,0.11422156284044917
"Brooks,Dillon",2019,0.07846932406045676
"Brooks,Dillon",2020,0.16609587829208164
"Brooks,MarShon",2018,0.19966006241325635
"Brooks,MarShon",2019,0.06934039789937506
"Brown,Anthony",2018,0.01847357243623955
"Brown,Bobby",2018,0.03912132283729581
"Brown,Bruce",2019,0.0463397566140889
"Brown,Bruce",2020,0.09582039993763597
"Brown,Charlie",2020,0.030476176446116512
"Brown,Jaylen",2018,0.1571911713404465
"Brown,Jaylen",2019,0.13445855658094036
"Brown,Jaylen",2020,0.20608466046639762
"Brown,Lorenzo",2018,0.03579673832938831
"Brown,Lorenzo",2019,0.03997537699595783
"Brown,Markel",2018,0.03889225485448668
"Brown,Moses",2020,0.01728289858969675
"Brown,Sterling",2018,0.04477236215553321
"Brown,Sterling",2019,0.06624796530484706
"Brown,Sterling",2020,0.06423240874455585
"Brown,Troy",2019,0.056958890103639366
"Brown,Troy",2020,0.1017019813027615
"Brunson,Jalen",2019,0.10267218528956581
"Brunson,Jalen",2020,0.0865649645575543
"Brussino,Nicolás",2018,0.007358473045785956
"Bryant,Thomas",2018,0.026225454242868207
"Bryant,Thomas",2019,0.09281720201835189
"Bryant,Thomas",2020,0.10454746871318923
"Bullock,Reggie",2018,0.1118255827580811
"Bullock,Reggie",2019,0.12060416655464173
"Bullock,Reggie",2020,0.08731866629959172
"Burke,Trey",2018,0.13162537484656087
"Burke,Trey",2019,0.11783009010375575
"Burke,Trey",2020,0.0599467958305129
"Burks,Alec",2018,0.09125520971836644
"Burks,Alec",2019,0.10482153944161872
"Burks,Alec",2020,0.16330556757026718
"Burton,Deonte",2019,0.03486523218982212
"Burton,Deonte",2020,0.039720556609858605
"Butler,Jimmy",2018,0.22157452947425413
"Butler,Jimmy",2019,0.18984754701826656
"Butler,Jimmy",2020,0.20816546467167854
"Buycks,Dwight",2018,0.08996385797805051
"Caboclo,Bruno",2018,0.03741485487978157
"Caboclo,Bruno",2019,0.08382079604151023
"Caboclo,Bruno",2020,0.03351838565489525
"Calderón,José",2018,0.044862150653527444
"Calderón,José",2019,0.030774789784628588
"Caldwell-Pope,Kentavious",2018,0.14321762857490966
"Caldwell-Pope,Kentavious",2019,0.11768948387116211
"Caldwell-Pope,Kentavious",2020,0.09208620420778656
"Canaan,Isaiah",2018,0.09479461435772682
"Canaan,Isaiah",2019,0.06986289919801367
"Capela,Clint",2018,0.1189669817991015
"Capela,Clint",2019,0.12717688287510517
"Capela,Clint",2020,0.1204242643946457
"Carroll,DeMarre",2018,0.1412750734725214
"Carroll,DeMarre",2019,0.11601397544822306
"Carroll,DeMarre",2020,0.03632624201323632
"Carter,Jevon",2019,0.0573936732598247
"Carter,Jevon",2020,0.05079437654556583
"Carter,Vince",2018,0.06061619177130383
"Carter,Vince",2019,0.07670178420870712
"Carter,Vince",2020,0.059917521665883405
"Carter,Wendell",2019,0.10232302002491896
"Carter,Wendell",2020,0.09239420975454676
"Carter-Williams,Michael",2018,0.05461626771253614
"Carter-Williams,Michael",2019,0.06011694131934596
"Carter-Williams,Michael",2020,0.07393662151735361
"Caruso,Alex",2018,0.044417198734604334
"Caruso,Alex",2019,0.11785243700649287
"Caruso,Alex",2020,0.05991306886769631
"Casspi,Omri",2018,0.05501926230279501
"Casspi,Omri",2019,0.0627554972638075
"Cauley-Stein,Willie",2018,0.13164721047262276
"Cauley-Stein,Willie",2019,0.10880956960459247
"Cauley-Stein,Willie",2020,0.06698538873125015
"Caupain,Troy",2019,0.023504129788584197
"Cavanaugh,Tyler",2018,0.04517304875056578
"Cavanaugh,Tyler",2019,0.013974182255488923
"Chalmers,Mario",2018,0.0882769216141259
"Chandler,Tyson",2018,0.04668152628978659
"Chandler,Tyson",2019,0.02396437267369757
"Chandler,Tyson",2020,0.01306376199871809
"Chandler,Wilson",2018,0.10318852165868796
"Chandler,Wilson",2019,0.06006534930055691
"Chandler,Wilson",2020,0.06669120722405351
"Chealey,Joe",2019,0.025903649027104493
"Chealey,Joe",2020,0.02636562875963731
"Cheatham,Zylan",2020,0.017270232437049043
"Chiozza,Chris",2019,0.016922322857505633
"Chiozza,Chris",2020,0.047489240721275444
"Chriss,Marquese",2018,0.08591642572840179
"Chriss,Marquese",2019,0.046813265273852635
"Chriss,Marquese",2020,0.08656976732382078
"Clark,Gary",2019,0.03977094392857681
"Clark,Gary",2020,0.033768625404185675
"Clark,Ian",2018,0.08158986160053759
"Clark,Ian",2019,0.08246930196849775
"Clarke,Brandon",2020,0.10489473730037906
"Clarkson,Jordan",2018,0.132985286570326
"Clarkson,Jordan",2019,0.17965048910133738
"Clarkson,Jordan",2020,0.15359388030536014
"Clavell,Gian",2018,0.04077003212589822
"Claxton,Nicolas",2020,0.03906639229879436
"Clemons,Chris",2020,0.06090937193464566
"Cleveland,Antonius",2018,0.01995879064227868
"Cleveland,Antonius",2020,0.013081449838693249
"Coffey,Amir",2020,0.028151394687485783
"Collins,John",2018,0.09126627448683769
"Collins,John",2019,0.16508246426163906
"Collins,John",2020,0.19165855115357278
"Collins,Zach",2018,0.05319531668487808
"Collins,Zach",2019,0.06314948762750403
"Collins,Zach",2020,0.07767003172479879
"Collinsworth,Kyle",2018,0.04161641577747031
"Collison,Darren",2018,0.12345771481150535
"Collison,Darren",2019,0.11872546375026709
"Collison,Nick",2018,0.019806873448750376
"Colson,Bonzie",2019,0.06735875379586113
"Conley,Mike",2018,0.1940646209327458
"Conley,Mike",2019,0.2234812841189049
"Conley,Mike",2020,0.15226215591712958
"Connaughton,Pat",2018,0.054498546871413076
"Connaughton,Pat",2019,0.07048786714835398
"Connaughton,Pat",2020,0.05724428097242815
"Cook,Quinn",2018,0.08874815022722327
"Cook,Quinn",2019,0.07276731029485578
"Cook,Quinn",2020,0.055054273405992143
"Cook,Tyler",2020,0.012331794006628979
"Cooke,Charles",2018,0.013745715725722259
"Cooley,Jack",2018,0.0415150267447276
"Costello,Matt",2018,0.010750546103438001
"Cousins,DeMarcus",2018,0.27487600286962743
"Cousins,DeMarcus",2019,0.15517210583646152
"Covington,Robert",2018,0.1335649145213881
"Covington,Robert",2019,0.1409521915759034
"Covington,Robert",2020,0.13865278634133213
"Crabbe,Allen",2018,0.14283013927909732
"Crabbe,Allen",2019,0.10802588784523062
"Crabbe,Allen",2020,0.05406180189595095
"Craig,Torrey",2018,0.042243937333429515
"Craig,Torrey",2019,0.056085200546610224
"Craig,Torrey",2020,0.05001074429708856
"Crawford,Jamal",2018,0.11567461028364986
"Crawford,Jamal",2019,0.09725988888279383
"Crawford,Jordan",2018,0.07302073252400845
"Creek,Mitch",2019,0.035514198249466326
"Crowder,Jae",2018,0.10587272202724533
"Crowder,Jae",2019,0.12960191181160718
"Crowder,Jae",2020,0.11536210636809953
"Culver,Jarrett",2020,0.1044995620779869
"Cunningham,Dante",2018,0.05913744954518173
"Cunningham,Dante",2019,0.029985922122746686
"Curry,Seth",2019,0.07586009283941873
"Curry,Seth",2020,0.12112619938030755
"Curry,Stephen",2018,0.260083917522409
"Curry,Stephen",2019,0.2759813241241252
"Curry,Stephen",2020,0.23285514289874656
"Daniels,Troy",2018,0.09114359710393724
"Daniels,Troy",2019,0.06873613762459209
"Daniels,Troy",2020,0.04568225104054723
"Davis,Anthony",2018,0.2880122960190659
"Davis,Anthony",2019,0.26171945811920233
"Davis,Anthony",2020,0.2707458660522596
"Davis,Deyonta",2018,0.047811230747957685
"Davis,Deyonta",2019,0.028994428797816045
"Davis,Ed",2018,0.03871780992310022
"Davis,Ed",2019,0.03824790809500683
"Davis,Ed",2020,0.010096587198528795
"Davis,Terence",2020,0.07915684145753042
"Davis,Tyler",2019,0.0006360910597565921
"DeRozan,DeMar",2018,0.24553776058156365
"DeRozan,DeMar",2019,0.23156341484375645
"DeRozan,DeMar",2020,0.22190171372848677
"Dedmon,Dewayne",2018,0.09776735591520296
"Dedmon,Dewayne",2019,0.10361119145054926
"Dedmon,Dewayne",2020,0.06570417232758512
"Dekker,Sam",2018,0.04458366833607909
"Dekker,Sam",2019,0.06443925050720499
"Delaney,Malcolm",2018,0.07227579094063695
"Delgado,Ángel",2019,0.03230674662645855
"Dellavedova,Matthew",2018,0.045103107652050174
"Dellavedova,Matthew",2019,0.06790255532609031
"Dellavedova,Matthew",2020,0.038200320683114755
"Deng,Luol",2018,0.027584111445846486
"Deng,Luol",2019,0.06857421752571931
"Derrickson,Marcus",2019,0.033333450545258866
"DiVincenzo,Donte",2019,0.05518522744166062
"DiVincenzo,Donte",2020,0.09772216054227888
"Diallo,Cheick",2018,0.04601245608066959
"Diallo,Cheick",2019,0.05690622645573766
"Diallo,Cheick",2020,0.045763101909925004
"Diallo,Hamidou",2019,0.03731114262503666
"Diallo,Hamidou",2020,0.06468755998343052
"Dieng,Gorgui",2018,0.056291537098144315
"Dieng,Gorgui",2019,0.06277145563021223
"Dieng,Gorgui",2020,0.07553721640416179
"Dinwiddie,Spencer",2018,0.13969231692217748
"Dinwiddie,Spencer",2019,0.17222560125070152
"Dinwiddie,Spencer",2020,0.22529237709335473
"Dončić,Luka",2019,0.23878924444226246
"Dončić,Luka",2020,0.30612177154073517
"Dorsey,Tyler",2018,0.08826706168867926
"Dorsey,Tyler",2019,0.06862182484992632
"Dort,Luguentz",2020,0.06025689485534182
"Dotson,Damyean",2018,0.048737566846522064
"Dotson,Damyean",2019,0.1169045320015794
"Dotson,Damyean",2020,0.07536551059270258
"Doumbouya,Sekou",2020,0.07497553119843099
"Doyle,Milton",2018,0.04989058468446518
"Dozier,PJ",2018,0.011360172775061088
"Dozier,PJ",2019,0.05027945312551281
"Dozier,PJ",2020,0.0509004799456126
"Dragić,Goran",2018,0.18547442234952163
"Dragić,Goran",2019,0.15295305419632987
"Dragić,Goran",2020,0.1714715359237148
"Drew,Larry",2018,0.024606501327697497
"Drummond,Andre",2018,0.14134487351818226
"Drummond,Andre",2019,0.1589122184570526
"Drummond,Andre",2020,0.17773924714130832
"Dudley,Jared",2018,0.040018483054506046
"Dudley,Jared",2019,0.048096253579499856
"Dudley,Jared",2020,0.025274195673362015
"Dunn,Kris",2018,0.16044551982944297
"Dunn,Kris",2019,0.13168108664820027
"Dunn,Kris",2020,0.08032038265590768
"Durant,Kevin",2018,0.2820107050241898
"Durant,Kevin",2019,0.2741559002994726
"Duval,Trevon",2019,0.020971332921464036
"Eddie,Jarell",2018,0.009262972776828943
"Edwards,Carsen",2020,0.040619311438310594
"Edwards,Vince",2019,0.018817804524827012
"Ellenson,Henry",2018,0.0539167659927518
"Ellenson,Henry",2019,0.06500801690859463
"Ellenson,Henry",2020,0.01236080494075885
