Posicion,Premios,puntos_MVP,primero,AWS,AWS_temp,WP,Season,WP_season,WP_adj,WP_adj_season,Defensivo,Sueldos
178,,,,"Clarkson,Jordan",408.25,"Tucker,P.J.",2018,6.6234860886541425,"Wright,Delon",2.167734163793607,,"Smith,Ish"
179,,,,"Jack,Jarrett",406.60000000000014,"Young,Nick",2018,6.5977415186502935,"Burke,Trey",2.151545925110693,,"Williams,Alan"
180,,,,"Biyombo,Bismack",400.94999999999993,"Harris,Tobias",2018,6.57731115112962,"Bullock,Reggie",2.1009301776011498,,"Teodosic,Milos"
181,,,,"Ulis,Tyler",400.15,"Tolliver,Anthony",2018,6.5251211930199995,"Cook,Quinn",2.0616781420177004,,"Johnson,Wesley"
182,,,,"Winslow,Justise",399.15,"Winslow,Justise",2018,6.511186812072285,"Collins,John",2.0520644806860373,,"Abrines,Alex"
183,,,,"Harris,Tobias",392.44999999999993,"Belinelli,Marco",2018,6.493388329162746,"Ginóbili,Manu",2.0456022941809913,,"Porzingis,Kristaps"
184,,,,"Green,JaMychal",391.14999999999986,"Burks,Alec",2018,6.479119890004017,"Green,JaMychal",2.02342391171154,,"Tatum,Jayson"
185,,,,"Koufos,Kosta",390.95000000000016,"Green,Gerald",2018,6.41364844013971,"Livingston,Shaun",2.0113713432077285,,"Sullinger,Jared"
186,,,,"Scott,Mike",390.10000000000025,"Siakam,Pascal",2018,6.3891693803683856,"Chandler,Wilson",1.9942132108781547,,"Ingram,Brandon"
187,,,,"Ginóbili,Manu",384.25,"Henson,John",2018,6.34051844870139,"Korver,Kyle",1.9906455160654768,,"Beverley,Patrick"
188,,,,"Turner,Evan",383.7,"Anderson,Kyle",2018,6.33731975845452,"Miller,Darius",1.9869523190900749,,"Sefolosha,Thabo"
189,,,,"Bullock,Reggie",382.7,"Bender,Dragan",2018,6.327415476048072,"Gallinari,Danilo",1.9448395593195358,,"Smith,Jason"
190,,,,"Mack,Shelvin",381.2000000000001,"Mirotić,Nikola",2018,6.258206358585558,"Thomas,Isaiah",1.920596276498731,,"McLemore,Ben"
191,,,,"Bender,Dragan",379.20000000000016,"Chriss,Marquese",2018,6.1859826524449275,"Conley,Mike",1.8987050940360688,,"Patterson,Patrick"
192,,,,"Green,Danny",378.05000000000007,"Forbes,Bryn",2018,6.122340953199867,"Henson,John",1.8618462357036976,,"Young,Nick"
193,,,,"Adebayo,Bam",374.14999999999986,"Anderson,Ryan",2018,6.0716038917799295,"Jordan,DeAndre",1.8600392974176057,,"Jackson,Josh"
194,,,,"Brogdon,Malcolm",373.70000000000016,"Dedmon,Dewayne",2018,6.061576066742584,"Jack,Jarrett",1.8240356387077783,,"Muscala,Mike"
195,,,,"Chriss,Marquese",372.70000000000016,"Kennard,Luke",2018,6.043309703283515,"Lyles,Trey",1.7927974259242618,,"Watson,C.J."
196,,,,"Anderson,Ryan",369.64999999999986,"Temple,Garrett",2018,6.0337645833982805,"Teodosić,Miloš",1.7445959319192017,,"Morris,Marcus"
197,,,,"Jones,Tyus",369.59999999999985,"Payton,Elfrid",2018,5.921166641284544,"Harrell,Montrezl",1.6904153200876637,,"Nowitzki,Dirk"
198,,,,"Jackson,Reggie",367.19999999999993,"Millsap,Paul",2018,5.855857679207532,"Ulis,Tyler",1.6819066954018596,,"Exum,Dante"
199,,,,"Nwaba,David",364.1999999999999,"Chalmers,Mario",2018,5.826276826532309,"James,Mike",1.6417703066376068,,"Isaac,Jonathan"
200,,,,"Pachulia,Zaza",359.85,"Wade,Dwyane",2018,5.817854310026509,"Dorsey,Tyler",1.6334753298097875,,"Ajinca,Alexis"
201,,,,"Felton,Raymond",357.1,"Ntilikina,Frank",2018,5.712361343030647,"Daniels,Troy",1.5181436496141951,,"Brown,Jaylen"
202,,,,"Miller,Darius",355.85,"Harrison,Andrew",2018,5.698079582955443,"Williams,Marvin",1.4905831198776383,,"Dunleavy,Mike"
