Name,Season,AWS_MEAN
"Bender,Dragan",2018,4.624390243902441
"Bender,Dragan",2019,3.676744186046512
"Bender,Dragan",2020,4.66875
"Bertāns,Dairis",2019,0.4545454545454547
"Bertāns,Dāvis",2018,3.3306666666666676
"Bertāns,Dāvis",2019,4.604375
"Bertāns,Dāvis",2020,8.253703703703705
"Beverley,Patrick",2018,8.513636363636365
"Beverley,Patrick",2019,6.437499999999998
"Beverley,Patrick",2020,7.010416666666667
"Birch,Khem",2018,4.304054054054054
"Birch,Khem",2019,4.107407407407408
"Birch,Khem",2020,3.621052631578947
"Bird,Jabari",2018,3.8875
"Bitadze,Goga",2020,2.275
"Biyombo,Bismack",2018,4.8896341463414625
"Biyombo,Bismack",2019,3.8029411764705885
"Biyombo,Bismack",2020,5.21698113207547
"Bjelica,Nemanja",2018,4.614999999999998
"Bjelica,Nemanja",2019,6.755844155844157
"Bjelica,Nemanja",2020,8.397656249999999
"Black,Tarik",2018,3.0125000000000006
"Blakeney,Antonio",2018,2.4921052631578955
"Blakeney,Antonio",2019,2.7160377358490564
"Bledsoe,Eric",2018,11.961111111111112
"Bledsoe,Eric",2019,10.970652173913045
"Bledsoe,Eric",2020,10.810714285714287
"Blossomgame,Jaron",2019,3.013461538461539
"Blue,Vander",2018,0.6300000000000001
"Bogdanović,Bogdan",2018,6.975
"Bogdanović,Bogdan",2019,7.838571428571431
"Bogdanović,Bogdan",2020,7.991509433962262
"Bogdanović,Bojan",2018,7.078735632183907
"Bogdanović,Bojan",2019,9.205294117647059
"Bogdanović,Bojan",2020,10.491269841269844
"Bogut,Andrew",2018,3.075
"Bogut,Andrew",2019,3.8812499999999996
"Bolden,Jonah",2019,3.484615384615385
"Bolden,Jonah",2020,0.7166666666666668
"Bolomboy,Joel",2018,1.85
"Bone,Jordan",2020,0.188888888888889
"Bonga,Isaac",2019,0.9947368421052633
"Bonga,Isaac",2020,3.649122807017546
"Booker,Devin",2018,12.72777777777778
"Booker,Devin",2019,15.092968750000006
"Booker,Devin",2020,15.370161290322585
"Booker,Trevor",2018,4.36081081081081
"Boucher,Chris",2019,1.9149999999999998
"Boucher,Chris",2020,4.229807692307692
"Bowen,Brian",2020,0.020000000000000108
"Bowman,Ky",2020,5.217045454545455
"Bradley,Avery",2018,6.592391304347826
"Bradley,Avery",2019,4.781746031746031
"Bradley,Avery",2020,4.146938775510205
"Bradley,Tony",2018,0.47777777777777786
"Bradley,Tony",2019,4.716666666666668
"Bradley,Tony",2020,3.744897959183673
"Brantley,Jarrell",2020,0.75
"Brazdeikis,Ignas",2020,0.3437500000000001
"Brewer,Corey",2018,3.462000000000002
"Brewer,Corey",2019,3.387096774193549
"Bridges,Mikal",2019,5.769753086419754
"Bridges,Mikal",2020,6.65076923076923
"Bridges,Miles",2019,4.767721518987343
"Bridges,Miles",2020,6.957692307692307
"Briscoe,Isaiah",2019,2.733823529411765
"Brissett,Oshae",2020,1.1875000000000002
"Broekhoff,Ryan",2019,2.6314285714285712
"Broekhoff,Ryan",2020,2.8218750000000004
"Brogdon,Malcolm",2018,6.794545454545457
"Brogdon,Malcolm",2019,9.157042253521128
"Brogdon,Malcolm",2020,10.851041666666667
"Brooks,Aaron",2018,1.3788461538461536
"Brooks,Dillon",2018,5.269512195121951
"Brooks,Dillon",2019,2.6666666666666665
"Brooks,Dillon",2020,5.904615384615385
"Brooks,MarShon",2018,12.964285714285717
"Brooks,MarShon",2019,2.7655172413793103
"Brown,Anthony",2018,2.5
"Brown,Bobby",2018,1.297058823529412
"Brown,Bruce",2019,2.259868421052632
"Brown,Bruce",2020,7.033620689655172
"Brown,Charlie",2020,1.2375
"Brown,Jaylen",2018,7.721022727272729
"Brown,Jaylen",2019,6.4626506024096395
"Brown,Jaylen",2020,10.895
"Brown,Lorenzo",2018,1.5035714285714288
"Brown,Lorenzo",2019,2.0300000000000002
"Brown,Markel",2018,1.2000000000000002
"Brown,Moses",2020,0.9214285714285717
"Brown,Sterling",2018,2.433018867924528
"Brown,Sterling",2019,4.045454545454546
"Brown,Sterling",2020,3.6238095238095243
"Brown,Troy",2019,3.3287234042553195
"Brown,Troy",2020,6.580327868852459
"Brunson,Jalen",2019,5.603623188405799
"Brunson,Jalen",2020,5.275438596491228
"Brussino,Nicolás",2018,-0.16666666666666666
"Bryant,Thomas",2018,1.1700000000000002
"Bryant,Thomas",2019,7.400000000000001
"Bryant,Thomas",2020,8.569736842105259
"Bullock,Reggie",2018,6.172580645161291
"Bullock,Reggie",2019,5.75714285714286
"Bullock,Reggie",2020,3.599999999999999
"Burke,Trey",2018,7.438888888888889
"Burke,Trey",2019,5.080172413793104
"Burke,Trey",2020,3.50625
"Burks,Alec",2018,4.238732394366197
"Burks,Alec",2019,5.166393442622951
"Burks,Alec",2020,7.908474576271189
"Burton,Deonte",2019,0.941071428571429
"Burton,Deonte",2020,1.2322580645161292
"Butler,Jimmy",2018,13.09296875
"Butler,Jimmy",2019,11.598701298701299
"Butler,Jimmy",2020,14.007407407407413
"Buycks,Dwight",2018,4.3759259259259276
"Caboclo,Bruno",2018,1.65
"Caboclo,Bruno",2019,5.561764705882354
"Caboclo,Bruno",2020,2.3673913043478256
"Calderón,José",2018,3.5830508474576277
"Calderón,José",2019,2.53953488372093
"Caldwell-Pope,Kentavious",2018,8.110135135135133
"Caldwell-Pope,Kentavious",2019,5.573780487804878
"Caldwell-Pope,Kentavious",2020,5.196031746031748
"Canaan,Isaiah",2018,5.857499999999999
"Canaan,Isaiah",2019,4.181034482758621
"Capela,Clint",2018,11.021978021978024
"Capela,Clint",2019,12.325000000000001
"Capela,Clint",2020,12.483333333333333
"Carroll,DeMarre",2018,7.882191780821919
"Carroll,DeMarre",2019,5.550000000000001
"Carroll,DeMarre",2020,2.2952380952380955
"Carter,Jevon",2019,2.828947368421052
"Carter,Jevon",2020,3.3893617021276596
"Carter,Vince",2018,3.3215517241379304
"Carter,Vince",2019,3.9259999999999997
"Carter,Vince",2020,2.2220338983050842
"Carter,Wendell",2019,6.787500000000002
"Carter,Wendell",2020,8.455813953488372
"Carter-Williams,Michael",2018,3.5769230769230775
"Carter-Williams,Michael",2019,3.703125000000001
"Carter-Williams,Michael",2020,5.582142857142858
"Caruso,Alex",2018,3.869117647058824
"Caruso,Alex",2019,8.2575
"Caruso,Alex",2020,3.929310344827588
"Casspi,Omri",2018,4.114423076923078
"Casspi,Omri",2019,4.045833333333334
"Cauley-Stein,Willie",2018,7.993150684931509
"Cauley-Stein,Willie",2019,8.365432098765432
"Cauley-Stein,Willie",2020,5.909259259259262
"Caupain,Troy",2019,1.875
"Cavanaugh,Tyler",2018,3.14
"Cavanaugh,Tyler",2019,0.6833333333333335
"Chalmers,Mario",2018,5.2242424242424255
