Team,Season,Date,Year,ID Partido,Local,Opponent,Team Points,Opponent Points,Result,Name,Reason
Philadelphia 76ers,2010,Oct 28,2009,/boxscores/200910280ORL.html,False,Orlando Magic,106,120,L,"Brezec,Primož",Did Not Play
Philadelphia 76ers,2010,Oct 30,2009,/boxscores/200910300PHI.html,False,Milwaukee Bucks,99,86,W,"Carney,Rodney",Did Not Play
Philadelphia 76ers,2010,Oct 31,2009,/boxscores/200910310NYK.html,False,New York Knicks,141,127,W,"Smith,Jason",Did Not Play
Philadelphia 76ers,2010,Oct 31,2009,/boxscores/200910310NYK.html,False,New York Knicks,141,127,W,"Holiday,Jrue",Did Not Play
Philadelphia 76ers,2010,Nov 3,2009,/boxscores/200911030PHI.html,False,Boston Celtics,74,105,W,"Ivey,Royal",Did Not Play
Philadelphia 76ers,2010,Nov 6,2009,/boxscores/200911060PHI.html,False,New Jersey Nets,97,94,W,"Holiday,Jrue",Did Not Play
Philadelphia 76ers,2010,Nov 8,2009,/boxscores/200911080DET.html,False,Detroit Pistons,81,88,L,"Holiday,Jrue",Did Not Play
Philadelphia 76ers,2010,Nov 9,2009,/boxscores/200911090PHI.html,False,Phoenix Suns,115,119,L,"Ivey,Royal",Did Not Play
Philadelphia 76ers,2010,Nov 11,2009,/boxscores/200911110NJN.html,False,New Jersey Nets,82,79,W,"Smith,Jason",Did Not Play
Philadelphia 76ers,2010,Nov 14,2009,/boxscores/200911140CHI.html,False,Chicago Bulls,88,94,L,"Smith,Jason",Did Not Play
Philadelphia 76ers,2010,Nov 14,2009,/boxscores/200911140CHI.html,False,Chicago Bulls,88,94,L,"Ivey,Royal",Did Not Play
Philadelphia 76ers,2010,Nov 18,2009,/boxscores/200911180PHI.html,False,Charlotte Bobcats,86,84,W,"Holiday,Jrue",Did Not Play
Philadelphia 76ers,2010,Nov 18,2009,/boxscores/200911180PHI.html,False,Charlotte Bobcats,86,84,W,"Brezec,Primož",Did Not Play
Philadelphia 76ers,2010,Nov 20,2009,/boxscores/200911200PHI.html,False,Memphis Grizzlies,97,102,W,"Ivey,Royal",Did Not Play
Philadelphia 76ers,2010,Nov 21,2009,/boxscores/200911210CLE.html,False,Cleveland Cavaliers,91,97,L,"Kapono,Jason",Did Not Play
Philadelphia 76ers,2010,Nov 21,2009,/boxscores/200911210CLE.html,False,Cleveland Cavaliers,91,97,L,"Holiday,Jrue",Did Not Play
Philadelphia 76ers,2010,Nov 21,2009,/boxscores/200911210CLE.html,False,Cleveland Cavaliers,91,97,L,"Brezec,Primož",Did Not Play
Philadelphia 76ers,2010,Nov 24,2009,/boxscores/200911240WAS.html,False,Washington Wizards,107,108,L,"Ivey,Royal",Did Not Play
Philadelphia 76ers,2010,Nov 24,2009,/boxscores/200911240WAS.html,False,Washington Wizards,107,108,L,"Brezec,Primož",Did Not Play
Philadelphia 76ers,2010,Nov 25,2009,/boxscores/200911250BOS.html,False,Boston Celtics,110,113,L,"Williams,Lou",Did Not Dress
Philadelphia 76ers,2010,Nov 25,2009,/boxscores/200911250BOS.html,False,Boston Celtics,110,113,L,"Brand,Elton",Did Not Dress
Philadelphia 76ers,2010,Nov 27,2009,/boxscores/200911270PHI.html,False,Atlanta Hawks,86,100,W,"Williams,Lou",Did Not Dress
Philadelphia 76ers,2010,Nov 27,2009,/boxscores/200911270PHI.html,False,Atlanta Hawks,86,100,W,"Ivey,Royal",Did Not Play
Philadelphia 76ers,2010,Nov 27,2009,/boxscores/200911270PHI.html,False,Atlanta Hawks,86,100,W,"Brezec,Primož",Did Not Play
Philadelphia 76ers,2010,Nov 27,2009,/boxscores/200911270PHI.html,False,Atlanta Hawks,86,100,W,"Brand,Elton",Did Not Dress
Philadelphia 76ers,2010,Nov 29,2009,/boxscores/200911290SAS.html,False,San Antonio Spurs,89,97,L,"Williams,Lou",Not With Team
Philadelphia 76ers,2010,Nov 29,2009,/boxscores/200911290SAS.html,False,San Antonio Spurs,89,97,L,"Brand,Elton",Did Not Dress
Philadelphia 76ers,2010,Nov 30,2009,/boxscores/200911300DAL.html,False,Dallas Mavericks,102,104,L,"Williams,Lou",Not With Team
Philadelphia 76ers,2010,Nov 30,2009,/boxscores/200911300DAL.html,False,Dallas Mavericks,102,104,L,"Brezec,Primož",Did Not Play
Philadelphia 76ers,2010,Dec 2,2009,/boxscores/200912020OKC.html,False,Oklahoma City Thunder,106,117,L,"Williams,Lou",Not With Team
Philadelphia 76ers,2010,Dec 2,2009,/boxscores/200912020OKC.html,False,Oklahoma City Thunder,106,117,L,"Brezec,Primož",Did Not Play
Philadelphia 76ers,2010,Dec 5,2009,/boxscores/200912050CHA.html,False,Charlotte Bobcats,105,106,L,"Ivey,Royal",Did Not Play
Philadelphia 76ers,2010,Dec 5,2009,/boxscores/200912050CHA.html,False,Charlotte Bobcats,105,106,L,"Iverson,Allen",Not With Team
Philadelphia 76ers,2010,Dec 5,2009,/boxscores/200912050CHA.html,False,Charlotte Bobcats,105,106,L,"Holiday,Jrue",Did Not Dress
Philadelphia 76ers,2010,Dec 7,2009,/boxscores/200912070PHI.html,False,Denver Nuggets,83,93,L,"Holiday,Jrue",Did Not Dress
Philadelphia 76ers,2010,Dec 7,2009,/boxscores/200912070PHI.html,False,Denver Nuggets,83,93,L,"Brezec,Primož",Did Not Play
Philadelphia 76ers,2010,Dec 9,2009,/boxscores/200912090PHI.html,False,Detroit Pistons,86,90,L,"Holiday,Jrue",Did Not Dress
Philadelphia 76ers,2010,Dec 9,2009,/boxscores/200912090PHI.html,False,Detroit Pistons,86,90,L,"Carney,Rodney",Did Not Play
Philadelphia 76ers,2010,Dec 9,2009,/boxscores/200912090PHI.html,False,Detroit Pistons,86,90,L,"Brezec,Primož",Did Not Play
Philadelphia 76ers,2010,Dec 11,2009,/boxscores/200912110PHI.html,False,Houston Rockets,91,96,L,"Ivey,Royal",Did Not Play
Philadelphia 76ers,2010,Dec 16,2009,/boxscores/200912160PHI.html,False,Cleveland Cavaliers,101,108,L,"Smith,Jason",Did Not Play
Philadelphia 76ers,2010,Dec 16,2009,/boxscores/200912160PHI.html,False,Cleveland Cavaliers,101,108,L,"Kapono,Jason",Did Not Play
Philadelphia 76ers,2010,Dec 16,2009,/boxscores/200912160PHI.html,False,Cleveland Cavaliers,101,108,L,"Ivey,Royal",Did Not Play
Philadelphia 76ers,2010,Dec 18,2009,/boxscores/200912180BOS.html,False,Boston Celtics,98,97,W,"Smith,Jason",Did Not Play
Philadelphia 76ers,2010,Dec 18,2009,/boxscores/200912180BOS.html,False,Boston Celtics,98,97,W,"Iverson,Allen",Not With Team
Philadelphia 76ers,2010,Dec 18,2009,/boxscores/200912180BOS.html,False,Boston Celtics,98,97,W,"Carney,Rodney",Did Not Play
Philadelphia 76ers,2010,Dec 19,2009,/boxscores/200912190PHI.html,False,Los Angeles Clippers,107,112,L,"Smith,Jason",Did Not Play
Philadelphia 76ers,2010,Dec 19,2009,/boxscores/200912190PHI.html,False,Los Angeles Clippers,107,112,L,"Ivey,Royal",Did Not Play
Philadelphia 76ers,2010,Dec 19,2009,/boxscores/200912190PHI.html,False,Los Angeles Clippers,107,112,L,"Carney,Rodney",Did Not Play
Philadelphia 76ers,2010,Dec 22,2009,/boxscores/200912220WAS.html,False,Washington Wizards,98,105,W,"Ivey,Royal",Did Not Play
Philadelphia 76ers,2010,Dec 28,2009,/boxscores/200912280POR.html,False,Portland Trail Blazers,104,93,L,"Kapono,Jason",Did Not Play
Philadelphia 76ers,2010,Jan 3,2010,/boxscores/201001030DEN.html,False,Denver Nuggets,108,105,W,"Kapono,Jason",Did Not Play
Philadelphia 76ers,2010,Jan 8,2010,/boxscores/201001080PHI.html,False,Toronto Raptors,106,108,L,"Smith,Jason",Did Not Play
Philadelphia 76ers,2010,Jan 8,2010,/boxscores/201001080PHI.html,False,Toronto Raptors,106,108,L,"Kapono,Jason",Did Not Play
Philadelphia 76ers,2010,Jan 8,2010,/boxscores/201001080PHI.html,False,Toronto Raptors,106,108,L,"Brand,Elton",Did Not Play
Philadelphia 76ers,2010,Jan 9,2010,/boxscores/201001090DET.html,False,Detroit Pistons,104,94,L,"Smith,Jason",Did Not Play
Philadelphia 76ers,2010,Jan 9,2010,/boxscores/201001090DET.html,False,Detroit Pistons,104,94,L,"Kapono,Jason",Did Not Play
Philadelphia 76ers,2010,Jan 9,2010,/boxscores/201001090DET.html,False,Detroit Pistons,104,94,L,"Ivey,Royal",Did Not Play
Philadelphia 76ers,2010,Jan 11,2010,/boxscores/201001110PHI.html,False,New Orleans Hornets,96,92,W,"Smith,Jason",Did Not Play
Philadelphia 76ers,2010,Jan 11,2010,/boxscores/201001110PHI.html,False,New Orleans Hornets,96,92,W,"Kapono,Jason",Did Not Play
Philadelphia 76ers,2010,Jan 13,2010,/boxscores/201001130PHI.html,False,New York Knicks,92,93,L,"Smith,Jason",Did Not Play
Philadelphia 76ers,2010,Jan 13,2010,/boxscores/201001130PHI.html,False,New York Knicks,92,93,L,"Kapono,Jason",Did Not Play
Philadelphia 76ers,2010,Jan 15,2010,/boxscores/201001150PHI.html,False,Sacramento Kings,98,86,W,"Smith,Jason",Did Not Play
Philadelphia 76ers,2010,Jan 15,2010,/boxscores/201001150PHI.html,False,Sacramento Kings,98,86,W,"Kapono,Jason",Did Not Play
Philadelphia 76ers,2010,Jan 18,2010,/boxscores/201001180MIN.html,False,Minnesota Timberwolves,103,108,L,"Smith,Jason",Did Not Play
Philadelphia 76ers,2010,Jan 18,2010,/boxscores/201001180MIN.html,False,Minnesota Timberwolves,103,108,L,"Kapono,Jason",Did Not Play
Philadelphia 76ers,2010,Jan 20,2010,/boxscores/201001200PHI.html,False,Portland Trail Blazers,90,98,L,"Smith,Jason",Did Not Play
Philadelphia 76ers,2010,Jan 20,2010,/boxscores/201001200PHI.html,False,Portland Trail Blazers,90,98,L,"Kapono,Jason",Did Not Play
Philadelphia 76ers,2010,Jan 20,2010,/boxscores/201001200PHI.html,False,Portland Trail Blazers,90,98,L,"Carney,Rodney",Did Not Play
Philadelphia 76ers,2010,Jan 22,2010,/boxscores/201001220PHI.html,False,Dallas Mavericks,92,81,W,"Smith,Jason",Did Not Play
Philadelphia 76ers,2010,Jan 22,2010,/boxscores/201001220PHI.html,False,Dallas Mavericks,92,81,W,"Carney,Rodney",Did Not Play
Philadelphia 76ers,2010,Jan 23,2010,/boxscores/201001230IND.html,False,Indiana Pacers,107,97,L,"Smith,Jason",Did Not Play
Philadelphia 76ers,2010,Jan 23,2010,/boxscores/201001230IND.html,False,Indiana Pacers,107,97,L,"Kapono,Jason",Did Not Play
Philadelphia 76ers,2010,Jan 25,2010,/boxscores/201001250PHI.html,False,Indiana Pacers,98,109,W,"Smith,Jason",Did Not Play
Philadelphia 76ers,2010,Jan 25,2010,/boxscores/201001250PHI.html,False,Indiana Pacers,98,109,W,"Ivey,Royal",Did Not Play
Philadelphia 76ers,2010,Jan 27,2010,/boxscores/201001270MIL.html,False,Milwaukee Bucks,88,91,L,"Smith,Jason",Did Not Play
Philadelphia 76ers,2010,Jan 29,2010,/boxscores/201001290PHI.html,False,Los Angeles Lakers,91,99,L,"Carney,Rodney",Did Not Play
Philadelphia 76ers,2010,Jan 31,2010,/boxscores/201001310NJN.html,False,New Jersey Nets,83,79,W,"Kapono,Jason",Did Not Play
Philadelphia 76ers,2010,Feb 3,2010,/boxscores/201002030PHI.html,False,Chicago Bulls,106,103,W,"Smith,Jason",Did Not Play
Philadelphia 76ers,2010,Feb 3,2010,/boxscores/201002030PHI.html,False,Chicago Bulls,106,103,W,"Kapono,Jason",Did Not Play
Philadelphia 76ers,2010,Feb 5,2010,/boxscores/201002050NOH.html,False,New Orleans Hornets,101,94,L,"Smith,Jason",Did Not Play
Philadelphia 76ers,2010,Feb 5,2010,/boxscores/201002050NOH.html,False,New Orleans Hornets,101,94,L,"Kapono,Jason",Did Not Play
Philadelphia 76ers,2010,Feb 6,2010,/boxscores/201002060HOU.html,False,Houston Rockets,102,95,L,"Kapono,Jason",Did Not Play
Philadelphia 76ers,2010,Feb 10,2010,/boxscores/201002100TOR.html,False,Toronto Raptors,93,104,W,"Brezec,Primož",Did Not Play
Philadelphia 76ers,2010,Feb 16,2010,/boxscores/201002160PHI.html,False,Miami Heat,78,105,W,"Kapono,Jason",Did Not Play
Philadelphia 76ers,2010,Feb 16,2010,/boxscores/201002160PHI.html,False,Miami Heat,78,105,W,"Ivey,Royal",Did Not Play
Philadelphia 76ers,2010,Feb 19,2010,/boxscores/201002190PHI.html,False,San Antonio Spurs,106,94,L,"Kapono,Jason",Did Not Play
Philadelphia 76ers,2010,Feb 19,2010,/boxscores/201002190PHI.html,False,San Antonio Spurs,106,94,L,"Green,Willie",Did Not Dress
Philadelphia 76ers,2010,Feb 20,2010,/boxscores/201002200CHI.html,False,Chicago Bulls,90,122,W,"Green,Willie",Did Not Dress
Philadelphia 76ers,2010,Feb 23,2010,/boxscores/201002230GSW.html,False,Golden State Warriors,110,102,W,"Smith,Jason",Did Not Dress
