Team,Season,Date,Year,ID Partido,Local,Opponent,Team Points,Opponent Points,Result,Name,Reason
Philadelphia 76ers,2012,Dec 26,2011,/boxscores/201112260POR.html,False,Portland Trail Blazers,103,107,L,"Vučević,Nikola",Did Not Play
Philadelphia 76ers,2012,Dec 26,2011,/boxscores/201112260POR.html,False,Portland Trail Blazers,103,107,L,"Speights,Marreese",Did Not Play
Philadelphia 76ers,2012,Dec 26,2011,/boxscores/201112260POR.html,False,Portland Trail Blazers,103,107,L,"Nocioni,Andrés",Did Not Play
Philadelphia 76ers,2012,Dec 26,2011,/boxscores/201112260POR.html,False,Portland Trail Blazers,103,107,L,"Brackins,Craig",Did Not Play
Philadelphia 76ers,2012,Dec 26,2011,/boxscores/201112260POR.html,False,Portland Trail Blazers,103,107,L,"Battie,Tony",Did Not Play
Philadelphia 76ers,2012,Dec 28,2011,/boxscores/201112280PHO.html,False,Phoenix Suns,103,83,L,"Speights,Marreese",Did Not Play
Philadelphia 76ers,2012,Dec 28,2011,/boxscores/201112280PHO.html,False,Phoenix Suns,103,83,L,"Nocioni,Andrés",Did Not Play
Philadelphia 76ers,2012,Dec 28,2011,/boxscores/201112280PHO.html,False,Phoenix Suns,103,83,L,"Battie,Tony",Did Not Play
Philadelphia 76ers,2012,Dec 30,2011,/boxscores/201112300UTA.html,False,Utah Jazz,99,102,W,"Speights,Marreese",Did Not Play
Philadelphia 76ers,2012,Dec 30,2011,/boxscores/201112300UTA.html,False,Utah Jazz,99,102,W,"Nocioni,Andrés",Did Not Play
Philadelphia 76ers,2012,Dec 30,2011,/boxscores/201112300UTA.html,False,Utah Jazz,99,102,W,"Brackins,Craig",Did Not Play
Philadelphia 76ers,2012,Dec 30,2011,/boxscores/201112300UTA.html,False,Utah Jazz,99,102,W,"Battie,Tony",Did Not Play
Philadelphia 76ers,2012,Dec 31,2011,/boxscores/201112310GSW.html,False,Golden State Warriors,107,79,L,"Speights,Marreese",Did Not Play
Philadelphia 76ers,2012,Dec 31,2011,/boxscores/201112310GSW.html,False,Golden State Warriors,107,79,L,"Nocioni,Andrés",Did Not Play
Philadelphia 76ers,2012,Dec 31,2011,/boxscores/201112310GSW.html,False,Golden State Warriors,107,79,L,"Battie,Tony",Did Not Play
Philadelphia 76ers,2012,Jan 4,2012,/boxscores/201201040NOH.html,False,New Orleans Hornets,101,93,L,"Vučević,Nikola",Did Not Dress
Philadelphia 76ers,2012,Jan 4,2012,/boxscores/201201040NOH.html,False,New Orleans Hornets,101,93,L,"Nocioni,Andrés",Did Not Play
Philadelphia 76ers,2012,Jan 4,2012,/boxscores/201201040NOH.html,False,New Orleans Hornets,101,93,L,"Brackins,Craig",Did Not Play
Philadelphia 76ers,2012,Jan 4,2012,/boxscores/201201040NOH.html,False,New Orleans Hornets,101,93,L,"Allen,Lavoy",Did Not Play
Philadelphia 76ers,2012,Jan 6,2012,/boxscores/201201060PHI.html,False,Detroit Pistons,96,73,W,"Battie,Tony",Did Not Play
Philadelphia 76ers,2012,Jan 6,2012,/boxscores/201201060PHI.html,False,Detroit Pistons,96,73,W,"Allen,Lavoy",Did Not Play
Philadelphia 76ers,2012,Jan 7,2012,/boxscores/201201070PHI.html,False,Toronto Raptors,97,62,W,"Battie,Tony",Did Not Play
Philadelphia 76ers,2012,Jan 9,2012,/boxscores/201201090PHI.html,False,Indiana Pacers,96,86,W,"Nocioni,Andrés",Did Not Play
Philadelphia 76ers,2012,Jan 9,2012,/boxscores/201201090PHI.html,False,Indiana Pacers,96,86,W,"Brackins,Craig",Did Not Play
Philadelphia 76ers,2012,Jan 9,2012,/boxscores/201201090PHI.html,False,Indiana Pacers,96,86,W,"Battie,Tony",Did Not Play
Philadelphia 76ers,2012,Jan 9,2012,/boxscores/201201090PHI.html,False,Indiana Pacers,96,86,W,"Allen,Lavoy",Did Not Play
Philadelphia 76ers,2012,Jan 11,2012,/boxscores/201201110NYK.html,False,New York Knicks,79,85,L,"Nocioni,Andrés",Did Not Play
Philadelphia 76ers,2012,Jan 11,2012,/boxscores/201201110NYK.html,False,New York Knicks,79,85,L,"Hawes,Spencer",Did Not Dress
Philadelphia 76ers,2012,Jan 11,2012,/boxscores/201201110NYK.html,False,New York Knicks,79,85,L,"Brackins,Craig",Did Not Play
Philadelphia 76ers,2012,Jan 11,2012,/boxscores/201201110NYK.html,False,New York Knicks,79,85,L,"Allen,Lavoy",Did Not Play
Philadelphia 76ers,2012,Jan 13,2012,/boxscores/201201130PHI.html,False,Washington Wizards,120,89,L,"Brackins,Craig",Did Not Play
Philadelphia 76ers,2012,Jan 13,2012,/boxscores/201201130PHI.html,False,Washington Wizards,120,89,L,"Allen,Lavoy",Did Not Play
Philadelphia 76ers,2012,Jan 14,2012,/boxscores/201201140WAS.html,False,Washington Wizards,103,90,L,"Nocioni,Andrés",Did Not Play
Philadelphia 76ers,2012,Jan 14,2012,/boxscores/201201140WAS.html,False,Washington Wizards,103,90,L,"Brackins,Craig",Did Not Play
Philadelphia 76ers,2012,Jan 14,2012,/boxscores/201201140WAS.html,False,Washington Wizards,103,90,L,"Allen,Lavoy",Did Not Play
Philadelphia 76ers,2012,Jan 16,2012,/boxscores/201201160PHI.html,False,Milwaukee Bucks,94,82,W,"Vučević,Nikola",Did Not Play
Philadelphia 76ers,2012,Jan 16,2012,/boxscores/201201160PHI.html,False,Milwaukee Bucks,94,82,W,"Turner,Evan",Did Not Dress
Philadelphia 76ers,2012,Jan 16,2012,/boxscores/201201160PHI.html,False,Milwaukee Bucks,94,82,W,"Brackins,Craig",Did Not Play
Philadelphia 76ers,2012,Jan 16,2012,/boxscores/201201160PHI.html,False,Milwaukee Bucks,94,82,W,"Allen,Lavoy",Did Not Play
Philadelphia 76ers,2012,Jan 18,2012,/boxscores/201201180PHI.html,False,Denver Nuggets,104,108,L,"Nocioni,Andrés",Did Not Play
Philadelphia 76ers,2012,Jan 18,2012,/boxscores/201201180PHI.html,False,Denver Nuggets,104,108,L,"Hawes,Spencer",Did Not Dress
Philadelphia 76ers,2012,Jan 18,2012,/boxscores/201201180PHI.html,False,Denver Nuggets,104,108,L,"Brackins,Craig",Did Not Play
Philadelphia 76ers,2012,Jan 18,2012,/boxscores/201201180PHI.html,False,Denver Nuggets,104,108,L,"Allen,Lavoy",Did Not Play
Philadelphia 76ers,2012,Jan 20,2012,/boxscores/201201200PHI.html,False,Atlanta Hawks,90,76,W,"Nocioni,Andrés",Did Not Play
Philadelphia 76ers,2012,Jan 20,2012,/boxscores/201201200PHI.html,False,Atlanta Hawks,90,76,W,"Hawes,Spencer",Did Not Dress
Philadelphia 76ers,2012,Jan 20,2012,/boxscores/201201200PHI.html,False,Atlanta Hawks,90,76,W,"Brackins,Craig",Did Not Play
Philadelphia 76ers,2012,Jan 20,2012,/boxscores/201201200PHI.html,False,Atlanta Hawks,90,76,W,"Allen,Lavoy",Did Not Play
Philadelphia 76ers,2012,Jan 21,2012,/boxscores/201201210MIA.html,False,Miami Heat,92,113,W,"Hawes,Spencer",Did Not Dress
Philadelphia 76ers,2012,Jan 21,2012,/boxscores/201201210MIA.html,False,Miami Heat,92,113,W,"Brackins,Craig",Did Not Play
Philadelphia 76ers,2012,Jan 23,2012,/boxscores/201201230PHI.html,False,Washington Wizards,103,83,L,"Vučević,Nikola",Did Not Dress
Philadelphia 76ers,2012,Jan 23,2012,/boxscores/201201230PHI.html,False,Washington Wizards,103,83,L,"Nocioni,Andrés",Did Not Play
Philadelphia 76ers,2012,Jan 23,2012,/boxscores/201201230PHI.html,False,Washington Wizards,103,83,L,"Hawes,Spencer",Did Not Dress
Philadelphia 76ers,2012,Jan 25,2012,/boxscores/201201250PHI.html,False,New Jersey Nets,90,97,L,"Vučević,Nikola",Did Not Dress
Philadelphia 76ers,2012,Jan 25,2012,/boxscores/201201250PHI.html,False,New Jersey Nets,90,97,L,"Nocioni,Andrés",Did Not Play
Philadelphia 76ers,2012,Jan 25,2012,/boxscores/201201250PHI.html,False,New Jersey Nets,90,97,L,"Hawes,Spencer",Did Not Dress
Philadelphia 76ers,2012,Jan 25,2012,/boxscores/201201250PHI.html,False,New Jersey Nets,90,97,L,"Brackins,Craig",Did Not Play
Philadelphia 76ers,2012,Jan 27,2012,/boxscores/201201270PHI.html,False,Charlotte Bobcats,89,72,W,"Hawes,Spencer",Did Not Dress
Philadelphia 76ers,2012,Jan 28,2012,/boxscores/201201280PHI.html,False,Detroit Pistons,95,74,W,"Hawes,Spencer",Did Not Dress
Philadelphia 76ers,2012,Jan 30,2012,/boxscores/201201300PHI.html,False,Orlando Magic,74,69,W,"Vučević,Nikola",Did Not Play
Philadelphia 76ers,2012,Jan 30,2012,/boxscores/201201300PHI.html,False,Orlando Magic,74,69,W,"Nocioni,Andrés",Did Not Play
Philadelphia 76ers,2012,Jan 30,2012,/boxscores/201201300PHI.html,False,Orlando Magic,74,69,W,"Elson,Francisco",Did Not Play
Philadelphia 76ers,2012,Jan 30,2012,/boxscores/201201300PHI.html,False,Orlando Magic,74,69,W,"Brackins,Craig",Did Not Play
Philadelphia 76ers,2012,Feb 1,2012,/boxscores/201202010PHI.html,False,Chicago Bulls,98,82,W,"Vučević,Nikola",Did Not Play
Philadelphia 76ers,2012,Feb 1,2012,/boxscores/201202010PHI.html,False,Chicago Bulls,98,82,W,"Nocioni,Andrés",Did Not Play
Philadelphia 76ers,2012,Feb 1,2012,/boxscores/201202010PHI.html,False,Chicago Bulls,98,82,W,"Elson,Francisco",Did Not Play
Philadelphia 76ers,2012,Feb 1,2012,/boxscores/201202010PHI.html,False,Chicago Bulls,98,82,W,"Brackins,Craig",Did Not Play
Philadelphia 76ers,2012,Feb 3,2012,/boxscores/201202030PHI.html,False,Miami Heat,79,99,L,"Nocioni,Andrés",Did Not Play
Philadelphia 76ers,2012,Feb 3,2012,/boxscores/201202030PHI.html,False,Miami Heat,79,99,L,"Brackins,Craig",Did Not Play
Philadelphia 76ers,2012,Feb 4,2012,/boxscores/201202040ATL.html,False,Atlanta Hawks,98,87,W,"Nocioni,Andrés",Did Not Play
Philadelphia 76ers,2012,Feb 4,2012,/boxscores/201202040ATL.html,False,Atlanta Hawks,98,87,W,"Elson,Francisco",Did Not Play
Philadelphia 76ers,2012,Feb 4,2012,/boxscores/201202040ATL.html,False,Atlanta Hawks,98,87,W,"Brackins,Craig",Did Not Play
Philadelphia 76ers,2012,Feb 4,2012,/boxscores/201202040ATL.html,False,Atlanta Hawks,98,87,W,"Battie,Tony",Did Not Play
Philadelphia 76ers,2012,Feb 6,2012,/boxscores/201202060PHI.html,False,Los Angeles Lakers,95,90,W,"Nocioni,Andrés",Did Not Play
Philadelphia 76ers,2012,Feb 6,2012,/boxscores/201202060PHI.html,False,Los Angeles Lakers,95,90,W,"Elson,Francisco",Did Not Play
Philadelphia 76ers,2012,Feb 6,2012,/boxscores/201202060PHI.html,False,Los Angeles Lakers,95,90,W,"Brackins,Craig",Did Not Play
Philadelphia 76ers,2012,Feb 6,2012,/boxscores/201202060PHI.html,False,Los Angeles Lakers,95,90,W,"Battie,Tony",Did Not Play
Philadelphia 76ers,2012,Feb 8,2012,/boxscores/201202080PHI.html,False,San Antonio Spurs,90,100,W,"Nocioni,Andrés",Did Not Play
Philadelphia 76ers,2012,Feb 8,2012,/boxscores/201202080PHI.html,False,San Antonio Spurs,90,100,W,"Hawes,Spencer",Did Not Dress
Philadelphia 76ers,2012,Feb 8,2012,/boxscores/201202080PHI.html,False,San Antonio Spurs,90,100,W,"Battie,Tony",Did Not Play
Philadelphia 76ers,2012,Feb 10,2012,/boxscores/201202100PHI.html,False,Los Angeles Clippers,77,78,L,"Nocioni,Andrés",Did Not Play
Philadelphia 76ers,2012,Feb 10,2012,/boxscores/201202100PHI.html,False,Los Angeles Clippers,77,78,L,"Hawes,Spencer",Did Not Dress
Philadelphia 76ers,2012,Feb 10,2012,/boxscores/201202100PHI.html,False,Los Angeles Clippers,77,78,L,"Battie,Tony",Did Not Play
Philadelphia 76ers,2012,Feb 11,2012,/boxscores/201202110CLE.html,False,Cleveland Cavaliers,99,84,W,"Nocioni,Andrés",Did Not Play
Philadelphia 76ers,2012,Feb 11,2012,/boxscores/201202110CLE.html,False,Cleveland Cavaliers,99,84,W,"Hawes,Spencer",Not With Team
Philadelphia 76ers,2012,Feb 11,2012,/boxscores/201202110CLE.html,False,Cleveland Cavaliers,99,84,W,"Battie,Tony",Did Not Play
Philadelphia 76ers,2012,Feb 13,2012,/boxscores/201202130CHA.html,False,Charlotte Bobcats,98,89,W,"Nocioni,Andrés",Did Not Play
Philadelphia 76ers,2012,Feb 13,2012,/boxscores/201202130CHA.html,False,Charlotte Bobcats,98,89,W,"Hawes,Spencer",Did Not Dress
Philadelphia 76ers,2012,Feb 13,2012,/boxscores/201202130CHA.html,False,Charlotte Bobcats,98,89,W,"Elson,Francisco",Did Not Play
Philadelphia 76ers,2012,Feb 13,2012,/boxscores/201202130CHA.html,False,Charlotte Bobcats,98,89,W,"Battie,Tony",Did Not Play
Philadelphia 76ers,2012,Feb 15,2012,/boxscores/201202150ORL.html,False,Orlando Magic,87,103,W,"Nocioni,Andrés",Did Not Play
Philadelphia 76ers,2012,Feb 15,2012,/boxscores/201202150ORL.html,False,Orlando Magic,87,103,W,"Hawes,Spencer",Not With Team
Philadelphia 76ers,2012,Feb 15,2012,/boxscores/201202150ORL.html,False,Orlando Magic,87,103,W,"Battie,Tony",Did Not Play
Philadelphia 76ers,2012,Feb 17,2012,/boxscores/201202170PHI.html,False,Dallas Mavericks,75,82,L,"Nocioni,Andrés",Did Not Play
Philadelphia 76ers,2012,Feb 17,2012,/boxscores/201202170PHI.html,False,Dallas Mavericks,75,82,L,"Hawes,Spencer",Did Not Dress
Philadelphia 76ers,2012,Feb 17,2012,/boxscores/201202170PHI.html,False,Dallas Mavericks,75,82,L,"Elson,Francisco",Did Not Play
Philadelphia 76ers,2012,Feb 17,2012,/boxscores/201202170PHI.html,False,Dallas Mavericks,75,82,L,"Battie,Tony",Did Not Play
Philadelphia 76ers,2012,Feb 19,2012,/boxscores/201202190MIN.html,False,Minnesota Timberwolves,91,92,L,"Nocioni,Andrés",Did Not Play
Philadelphia 76ers,2012,Feb 19,2012,/boxscores/201202190MIN.html,False,Minnesota Timberwolves,91,92,L,"Hawes,Spencer",Did Not Play
Philadelphia 76ers,2012,Feb 19,2012,/boxscores/201202190MIN.html,False,Minnesota Timberwolves,91,92,L,"Elson,Francisco",Did Not Play
Philadelphia 76ers,2012,Feb 19,2012,/boxscores/201202190MIN.html,False,Minnesota Timberwolves,91,92,L,"Battie,Tony",Did Not Play
Philadelphia 76ers,2012,Feb 21,2012,/boxscores/201202210MEM.html,False,Memphis Grizzlies,76,89,L,"Hawes,Spencer",Not With Team
Philadelphia 76ers,2012,Feb 21,2012,/boxscores/201202210MEM.html,False,Memphis Grizzlies,76,89,L,"Elson,Francisco",Did Not Play
Philadelphia 76ers,2012,Feb 21,2012,/boxscores/201202210MEM.html,False,Memphis Grizzlies,76,89,L,"Brand,Elton",Did Not Dress
Philadelphia 76ers,2012,Feb 22,2012,/boxscores/201202220HOU.html,False,Houston Rockets,87,93,L,"Nocioni,Andrés",Did Not Play
Philadelphia 76ers,2012,Feb 22,2012,/boxscores/201202220HOU.html,False,Houston Rockets,87,93,L,"Hawes,Spencer",Not With Team
Philadelphia 76ers,2012,Feb 22,2012,/boxscores/201202220HOU.html,False,Houston Rockets,87,93,L,"Elson,Francisco",Did Not Play
Philadelphia 76ers,2012,Feb 22,2012,/boxscores/201202220HOU.html,False,Houston Rockets,87,93,L,"Brand,Elton",Did Not Dress
Philadelphia 76ers,2012,Feb 28,2012,/boxscores/201202280DET.html,False,Detroit Pistons,97,68,W,"Hawes,Spencer",Not With Team
Philadelphia 76ers,2012,Feb 28,2012,/boxscores/201202280DET.html,False,Detroit Pistons,97,68,W,"Battie,Tony",Did Not Play
Philadelphia 76ers,2012,Feb 29,2012,/boxscores/201202290PHI.html,False,Oklahoma City Thunder,88,92,L,"Nocioni,Andrés",Did Not Play
Philadelphia 76ers,2012,Feb 29,2012,/boxscores/201202290PHI.html,False,Oklahoma City Thunder,88,92,L,"Hawes,Spencer",Did Not Dress
Philadelphia 76ers,2012,Feb 29,2012,/boxscores/201202290PHI.html,False,Oklahoma City Thunder,88,92,L,"Elson,Francisco",Did Not Play
Philadelphia 76ers,2012,Feb 29,2012,/boxscores/201202290PHI.html,False,Oklahoma City Thunder,88,92,L,"Battie,Tony",Did Not Play
Philadelphia 76ers,2012,Mar 2,2012,/boxscores/201203020PHI.html,False,Golden State Warriors,105,83,L,"Nocioni,Andrés",Did Not Play
Philadelphia 76ers,2012,Mar 2,2012,/boxscores/201203020PHI.html,False,Golden State Warriors,105,83,L,"Brackins,Craig",Did Not Play
Philadelphia 76ers,2012,Mar 2,2012,/boxscores/201203020PHI.html,False,Golden State Warriors,105,83,L,"Battie,Tony",Did Not Play
Philadelphia 76ers,2012,Mar 4,2012,/boxscores/201203040PHI.html,False,Chicago Bulls,91,96,L,"Nocioni,Andrés",Did Not Play
Philadelphia 76ers,2012,Mar 4,2012,/boxscores/201203040PHI.html,False,Chicago Bulls,91,96,L,"Brackins,Craig",Did Not Play
Philadelphia 76ers,2012,Mar 4,2012,/boxscores/201203040PHI.html,False,Chicago Bulls,91,96,L,"Battie,Tony",Did Not Play
Philadelphia 76ers,2012,Mar 5,2012,/boxscores/201203050MIL.html,False,Milwaukee Bucks,93,97,L,"Nocioni,Andrés",Did Not Play
Philadelphia 76ers,2012,Mar 5,2012,/boxscores/201203050MIL.html,False,Milwaukee Bucks,93,97,L,"Brackins,Craig",Did Not Play
Philadelphia 76ers,2012,Mar 5,2012,/boxscores/201203050MIL.html,False,Milwaukee Bucks,93,97,L,"Battie,Tony",Did Not Play
Philadelphia 76ers,2012,Mar 7,2012,/boxscores/201203070PHI.html,False,Boston Celtics,103,71,L,"Young,Thaddeus",Did Not Dress
Philadelphia 76ers,2012,Mar 9,2012,/boxscores/201203090PHI.html,False,Utah Jazz,104,91,L,"Nocioni,Andrés",Did Not Play
Philadelphia 76ers,2012,Mar 9,2012,/boxscores/201203090PHI.html,False,Utah Jazz,104,91,L,"Brackins,Craig",Did Not Play
Philadelphia 76ers,2012,Mar 11,2012,/boxscores/201203110NYK.html,False,New York Knicks,106,94,L,"Nocioni,Andrés",Did Not Play
Philadelphia 76ers,2012,Mar 11,2012,/boxscores/201203110NYK.html,False,New York Knicks,106,94,L,"Brackins,Craig",Did Not Play
Philadelphia 76ers,2012,Mar 11,2012,/boxscores/201203110NYK.html,False,New York Knicks,106,94,L,"Battie,Tony",Did Not Play
Philadelphia 76ers,2012,Mar 11,2012,/boxscores/201203110NYK.html,False,New York Knicks,106,94,L,"Allen,Lavoy",Did Not Play
Philadelphia 76ers,2012,Mar 14,2012,/boxscores/201203140IND.html,False,Indiana Pacers,94,111,W,"Nocioni,Andrés",Did Not Play
Philadelphia 76ers,2012,Mar 14,2012,/boxscores/201203140IND.html,False,Indiana Pacers,94,111,W,"Brackins,Craig",Did Not Play
Philadelphia 76ers,2012,Mar 14,2012,/boxscores/201203140IND.html,False,Indiana Pacers,94,111,W,"Battie,Tony",Did Not Play
Philadelphia 76ers,2012,Mar 16,2012,/boxscores/201203160PHI.html,False,Miami Heat,78,84,L,"Nocioni,Andrés",Did Not Play
Philadelphia 76ers,2012,Mar 16,2012,/boxscores/201203160PHI.html,False,Miami Heat,78,84,L,"Brackins,Craig",Did Not Play
Philadelphia 76ers,2012,Mar 16,2012,/boxscores/201203160PHI.html,False,Miami Heat,78,84,L,"Battie,Tony",Did Not Play
Philadelphia 76ers,2012,Mar 17,2012,/boxscores/201203170CHI.html,False,Chicago Bulls,80,89,L,"Young,Sam",Did Not Play
Philadelphia 76ers,2012,Mar 17,2012,/boxscores/201203170CHI.html,False,Chicago Bulls,80,89,L,"Nocioni,Andrés",Did Not Play
Philadelphia 76ers,2012,Mar 17,2012,/boxscores/201203170CHI.html,False,Chicago Bulls,80,89,L,"Battie,Tony",Did Not Play
Philadelphia 76ers,2012,Mar 17,2012,/boxscores/201203170CHI.html,False,Chicago Bulls,80,89,L,"Allen,Lavoy",Did Not Play
Philadelphia 76ers,2012,Mar 19,2012,/boxscores/201203190CHA.html,False,Charlotte Bobcats,105,80,L,"Nocioni,Andrés",Did Not Play
Philadelphia 76ers,2012,Mar 19,2012,/boxscores/201203190CHA.html,False,Charlotte Bobcats,105,80,L,"Battie,Tony",Did Not Play
Philadelphia 76ers,2012,Mar 21,2012,/boxscores/201203210PHI.html,False,New York Knicks,79,82,L,"Vučević,Nikola",Did Not Play
Philadelphia 76ers,2012,Mar 21,2012,/boxscores/201203210PHI.html,False,New York Knicks,79,82,L,"Brackins,Craig",Did Not Play
Philadelphia 76ers,2012,Mar 21,2012,/boxscores/201203210PHI.html,False,New York Knicks,79,82,L,"Battie,Tony",Did Not Play
Philadelphia 76ers,2012,Mar 21,2012,/boxscores/201203210PHI.html,False,New York Knicks,79,82,L,"Allen,Lavoy",Did Not Play
Philadelphia 76ers,2012,Mar 23,2012,/boxscores/201203230PHI.html,False,Boston Celtics,99,86,W,"Vučević,Nikola",Did Not Play
Philadelphia 76ers,2012,Mar 23,2012,/boxscores/201203230PHI.html,False,Boston Celtics,99,86,W,"Brackins,Craig",Did Not Play
Philadelphia 76ers,2012,Mar 23,2012,/boxscores/201203230PHI.html,False,Boston Celtics,99,86,W,"Allen,Lavoy",Did Not Play
Philadelphia 76ers,2012,Mar 25,2012,/boxscores/201203250SAS.html,False,San Antonio Spurs,76,93,L,"Iguodala,Andre",Did Not Dress
Philadelphia 76ers,2012,Mar 25,2012,/boxscores/201203250SAS.html,False,San Antonio Spurs,76,93,L,"Brackins,Craig",Did Not Play
Philadelphia 76ers,2012,Mar 25,2012,/boxscores/201203250SAS.html,False,San Antonio Spurs,76,93,L,"Battie,Tony",Did Not Play
Philadelphia 76ers,2012,Mar 25,2012,/boxscores/201203250SAS.html,False,San Antonio Spurs,76,93,L,"Allen,Lavoy",Did Not Play
Philadelphia 76ers,2012,Mar 27,2012,/boxscores/201203270PHI.html,False,Cleveland Cavaliers,103,85,L,"Iguodala,Andre",Did Not Dress
Philadelphia 76ers,2012,Mar 30,2012,/boxscores/201203300WAS.html,False,Washington Wizards,76,97,L,"Brackins,Craig",Did Not Play
Philadelphia 76ers,2012,Mar 31,2012,/boxscores/201203310PHI.html,False,Atlanta Hawks,95,90,W,"Vučević,Nikola",Did Not Play
